,Cust_ID,Event_CreatT,Event_ExpireT,Stat_ID,Status,t
103,CUST3,2023-05-18 19:24:06,2023-05-18 19:58:06,BSG_90,successful,0 days 00:34:00
104,CUST16,2023-05-18 12:18:23,2023-05-18 12:32:23,BSG_262,successful,0 days 00:14:00
105,CUST12,2023-05-18 01:46:06,2023-05-18 02:21:06,BSG_305,successful,0 days 00:35:00
106,CUST9,2023-05-18 17:22:26,2023-05-18 17:40:26,BSG_14,unsuccessful reservation,0 days 00:18:00
107,CUST13,2023-05-18 00:49:49,2023-05-18 01:23:49,BSG_63,successful,0 days 00:34:00
108,CUST4,2023-05-18 03:46:09,2023-05-18 04:25:09,BSG_199,unsuccessful reservation,0 days 00:39:00
109,CUST15,2023-05-18 14:25:04,2023-05-18 14:48:04,BSG_297,unsuccessful reservation,0 days 00:23:00
110,CUST8,2023-05-18 10:05:45,2023-05-18 10:25:45,BSG_257,unsuccessful reservation,0 days 00:20:00
111,CUST15,2023-05-18 03:20:32,2023-05-18 03:55:32,BSG_202,successful,0 days 00:35:00
112,CUST16,2023-05-18 18:07:21,2023-05-18 18:20:21,BSG_100,unsuccessful reservation,0 days 00:13:00
113,CUST8,2023-05-18 03:27:46,2023-05-18 03:50:46,BSG_217,successful,0 days 00:23:00
114,CUST11,2023-05-18 04:35:41,2023-05-18 04:45:41,BSG_2,successful,0 days 00:10:00
115,CUST3,2023-05-18 18:35:49,2023-05-18 18:40:49,BSG_339,unsuccessful reservation,0 days 00:05:00
116,CUST15,2023-05-18 19:08:47,2023-05-18 19:38:47,BSG_74,successful,0 days 00:30:00
117,CUST4,2023-05-18 05:28:47,2023-05-18 05:51:47,BSG_62,successful,0 days 00:23:00
118,CUST1,2023-05-18 12:29:10,2023-05-18 12:37:10,BSG_282,unsuccessful reservation,0 days 00:08:00
119,CUST11,2023-05-18 15:18:33,2023-05-18 15:40:33,BSG_337,successful,0 days 00:22:00
120,CUST8,2023-05-18 21:31:32,2023-05-18 21:40:32,BSG_318,unsuccessful reservation,0 days 00:09:00
121,CUST4,2023-05-18 22:17:42,2023-05-18 22:47:42,BSG_278,successful,0 days 00:30:00
122,CUST4,2023-05-18 07:28:29,2023-05-18 07:56:29,BSG_267,unsuccessful reservation,0 days 00:28:00
123,CUST8,2023-05-18 23:10:44,2023-05-18 23:40:44,BSG_296,successful,0 days 00:30:00
124,CUST10,2023-05-18 07:10:53,2023-05-18 07:23:53,BSG_144,unsuccessful reservation,0 days 00:13:00
125,CUST16,2023-05-18 21:35:36,2023-05-18 21:51:36,BSG_122,unsuccessful reservation,0 days 00:16:00
126,CUST15,2023-05-18 20:13:15,2023-05-18 20:50:15,BSG_105,successful,0 days 00:37:00
127,CUST6,2023-05-18 04:07:12,2023-05-18 04:35:12,BSG_44,unsuccessful reservation,0 days 00:28:00
128,CUST15,2023-05-18 23:22:04,2023-05-18 23:55:04,BSG_265,unsuccessful reservation,0 days 00:33:00
129,CUST8,2023-05-18 23:29:46,2023-05-19 00:03:46,BSG_1,unsuccessful reservation,0 days 00:34:00
130,CUST13,2023-05-18 11:09:30,2023-05-18 11:53:30,BSG_148,successful,0 days 00:44:00
131,CUST7,2023-05-18 11:57:09,2023-05-18 12:04:09,BSG_331,unsuccessful reservation,0 days 00:07:00
132,CUST7,2023-05-18 00:43:50,2023-05-18 01:08:50,BSG_69,successful,0 days 00:25:00
133,CUST6,2023-05-18 06:25:15,2023-05-18 07:00:15,BSG_108,successful,0 days 00:35:00
134,CUST12,2023-05-18 17:47:20,2023-05-18 18:01:20,BSG_216,unsuccessful reservation,0 days 00:14:00
135,CUST11,2023-05-18 08:17:38,2023-05-18 09:01:38,BSG_321,successful,0 days 00:44:00
136,CUST9,2023-05-18 09:56:42,2023-05-18 10:39:42,BSG_114,successful,0 days 00:43:00
137,CUST14,2023-05-18 17:29:41,2023-05-18 18:08:41,BSG_136,unsuccessful reservation,0 days 00:39:00
138,CUST9,2023-05-18 03:39:04,2023-05-18 04:19:04,BSG_287,unsuccessful reservation,0 days 00:40:00
139,CUST7,2023-05-18 16:16:45,2023-05-18 16:36:45,BSG_87,unsuccessful reservation,0 days 00:20:00
140,CUST1,2023-05-18 13:58:37,2023-05-18 14:36:37,BSG_92,successful,0 days 00:38:00
141,CUST5,2023-05-18 15:45:26,2023-05-18 15:53:26,BSG_121,successful,0 days 00:08:00
142,CUST11,2023-05-18 08:33:44,2023-05-18 08:52:44,BSG_198,successful,0 days 00:19:00
143,CUST12,2023-05-18 13:40:00,2023-05-18 14:22:00,BSG_292,successful,0 days 00:42:00
144,CUST15,2023-05-18 19:43:51,2023-05-18 20:15:51,BSG_243,unsuccessful reservation,0 days 00:32:00
145,CUST2,2023-05-18 13:14:16,2023-05-18 13:35:16,BSG_114,successful,0 days 00:21:00
146,CUST12,2023-05-18 22:17:16,2023-05-18 22:42:16,BSG_77,unsuccessful reservation,0 days 00:25:00
147,CUST13,2023-05-18 17:18:40,2023-05-18 17:47:40,BSG_115,successful,0 days 00:29:00
148,CUST9,2023-05-18 17:00:32,2023-05-18 17:19:32,BSG_49,unsuccessful reservation,0 days 00:19:00
149,CUST4,2023-05-18 05:59:12,2023-05-18 06:12:12,BSG_57,successful,0 days 00:13:00
150,CUST7,2023-05-18 14:19:19,2023-05-18 14:41:19,BSG_37,unsuccessful reservation,0 days 00:22:00
151,CUST12,2023-05-18 15:16:41,2023-05-18 15:21:41,BSG_323,unsuccessful reservation,0 days 00:05:00
152,CUST6,2023-05-18 17:29:15,2023-05-18 17:52:15,BSG_293,unsuccessful reservation,0 days 00:23:00
153,CUST1,2023-05-18 00:18:35,2023-05-18 00:55:35,BSG_95,unsuccessful reservation,0 days 00:37:00
154,CUST13,2023-05-18 22:36:40,2023-05-18 22:47:40,BSG_238,successful,0 days 00:11:00
155,CUST2,2023-05-18 04:50:38,2023-05-18 05:08:38,BSG_308,successful,0 days 00:18:00
156,CUST4,2023-05-18 23:51:45,2023-05-19 00:07:45,BSG_113,successful,0 days 00:16:00
157,CUST3,2023-05-18 08:04:36,2023-05-18 08:39:36,BSG_198,unsuccessful reservation,0 days 00:35:00
158,CUST13,2023-05-18 16:12:48,2023-05-18 16:24:48,BSG_13,successful,0 days 00:12:00
159,CUST6,2023-05-18 16:50:01,2023-05-18 17:29:01,BSG_218,unsuccessful reservation,0 days 00:39:00
160,CUST11,2023-05-18 01:10:21,2023-05-18 01:43:21,BSG_144,successful,0 days 00:33:00
161,CUST2,2023-05-18 07:28:11,2023-05-18 08:05:11,BSG_151,unsuccessful reservation,0 days 00:37:00
162,CUST5,2023-05-18 17:37:30,2023-05-18 17:49:30,BSG_341,successful,0 days 00:12:00
163,CUST14,2023-05-18 00:14:26,2023-05-18 00:41:26,BSG_303,successful,0 days 00:27:00
164,CUST10,2023-05-18 12:10:41,2023-05-18 12:19:41,BSG_311,unsuccessful reservation,0 days 00:09:00
165,CUST15,2023-05-18 19:26:27,2023-05-18 19:36:27,BSG_119,successful,0 days 00:10:00
166,CUST11,2023-05-18 16:41:13,2023-05-18 16:50:13,BSG_230,successful,0 days 00:09:00
167,CUST3,2023-05-18 23:37:47,2023-05-18 23:58:47,BSG_92,successful,0 days 00:21:00
168,CUST9,2023-05-18 15:41:37,2023-05-18 15:54:37,BSG_316,unsuccessful reservation,0 days 00:13:00
169,CUST6,2023-05-18 03:22:11,2023-05-18 03:55:11,BSG_268,successful,0 days 00:33:00
170,CUST7,2023-05-18 04:46:59,2023-05-18 04:54:59,BSG_140,successful,0 days 00:08:00
171,CUST6,2023-05-18 22:39:09,2023-05-18 23:08:09,BSG_305,successful,0 days 00:29:00
172,CUST9,2023-05-18 16:30:43,2023-05-18 16:55:43,BSG_127,successful,0 days 00:25:00
173,CUST8,2023-05-18 04:34:18,2023-05-18 05:17:18,BSG_250,successful,0 days 00:43:00
174,CUST10,2023-05-18 04:03:24,2023-05-18 04:31:24,BSG_49,successful,0 days 00:28:00
175,CUST6,2023-05-18 19:32:59,2023-05-18 19:56:59,BSG_257,successful,0 days 00:24:00
176,CUST8,2023-05-18 18:00:33,2023-05-18 18:13:33,BSG_240,successful,0 days 00:13:00
177,CUST3,2023-05-18 00:46:21,2023-05-18 01:26:21,BSG_43,unsuccessful reservation,0 days 00:40:00
178,CUST11,2023-05-18 03:58:15,2023-05-18 04:26:15,BSG_5,unsuccessful reservation,0 days 00:28:00
179,CUST3,2023-05-18 13:06:36,2023-05-18 13:16:36,BSG_348,successful,0 days 00:10:00
180,CUST8,2023-05-18 11:07:03,2023-05-18 11:15:03,BSG_256,successful,0 days 00:08:00
181,CUST2,2023-05-18 06:44:25,2023-05-18 07:12:25,BSG_232,successful,0 days 00:28:00
182,CUST2,2023-05-18 02:12:12,2023-05-18 02:38:12,BSG_188,unsuccessful reservation,0 days 00:26:00
183,CUST8,2023-05-18 08:18:52,2023-05-18 08:28:52,BSG_294,successful,0 days 00:10:00
184,CUST12,2023-05-18 00:21:48,2023-05-18 00:45:48,BSG_267,unsuccessful reservation,0 days 00:24:00
185,CUST4,2023-05-18 20:39:24,2023-05-18 20:49:24,BSG_50,unsuccessful reservation,0 days 00:10:00
186,CUST2,2023-05-18 06:07:24,2023-05-18 06:34:24,BSG_187,unsuccessful reservation,0 days 00:27:00
187,CUST13,2023-05-18 21:33:54,2023-05-18 21:58:54,BSG_211,unsuccessful reservation,0 days 00:25:00
188,CUST1,2023-05-18 05:01:14,2023-05-18 05:11:14,BSG_133,successful,0 days 00:10:00
189,CUST8,2023-05-18 02:48:55,2023-05-18 03:10:55,BSG_64,successful,0 days 00:22:00
190,CUST16,2023-05-18 17:50:53,2023-05-18 18:03:53,BSG_77,successful,0 days 00:13:00
191,CUST6,2023-05-18 18:04:18,2023-05-18 18:46:18,BSG_53,unsuccessful reservation,0 days 00:42:00
192,CUST13,2023-05-18 02:10:40,2023-05-18 02:39:40,BSG_272,unsuccessful reservation,0 days 00:29:00
193,CUST7,2023-05-18 09:29:37,2023-05-18 09:56:37,BSG_231,successful,0 days 00:27:00
194,CUST7,2023-05-18 22:00:37,2023-05-18 22:08:37,BSG_196,unsuccessful reservation,0 days 00:08:00
195,CUST3,2023-05-18 18:29:38,2023-05-18 18:56:38,BSG_16,successful,0 days 00:27:00
196,CUST10,2023-05-18 03:01:58,2023-05-18 03:34:58,BSG_100,successful,0 days 00:33:00
197,CUST8,2023-05-18 20:16:43,2023-05-18 20:48:43,BSG_100,unsuccessful reservation,0 days 00:32:00
198,CUST5,2023-05-18 14:06:34,2023-05-18 14:25:34,BSG_188,successful,0 days 00:19:00
199,CUST9,2023-05-18 09:43:11,2023-05-18 10:19:11,BSG_151,unsuccessful reservation,0 days 00:36:00
200,CUST6,2023-05-18 02:37:23,2023-05-18 03:02:23,BSG_248,unsuccessful reservation,0 days 00:25:00
201,CUST3,2023-05-18 14:51:57,2023-05-18 15:34:57,BSG_197,unsuccessful reservation,0 days 00:43:00
202,CUST2,2023-05-18 23:16:03,2023-05-18 23:32:03,BSG_286,unsuccessful reservation,0 days 00:16:00
203,CUST5,2023-05-18 09:51:50,2023-05-18 10:20:50,BSG_83,unsuccessful reservation,0 days 00:29:00
204,CUST4,2023-05-18 04:47:08,2023-05-18 05:14:08,BSG_212,successful,0 days 00:27:00
205,CUST13,2023-05-18 00:31:01,2023-05-18 01:08:01,BSG_296,successful,0 days 00:37:00
206,CUST12,2023-05-18 05:04:16,2023-05-18 05:39:16,BSG_30,successful,0 days 00:35:00
207,CUST5,2023-05-18 00:28:52,2023-05-18 01:05:52,BSG_306,unsuccessful reservation,0 days 00:37:00
208,CUST9,2023-05-18 02:05:54,2023-05-18 02:22:54,BSG_281,unsuccessful reservation,0 days 00:17:00
209,CUST15,2023-05-18 12:27:22,2023-05-18 12:57:22,BSG_28,successful,0 days 00:30:00
210,CUST1,2023-05-18 06:43:52,2023-05-18 07:08:52,BSG_34,unsuccessful reservation,0 days 00:25:00
211,CUST8,2023-05-18 09:20:50,2023-05-18 09:38:50,BSG_187,successful,0 days 00:18:00
212,CUST16,2023-05-18 19:21:49,2023-05-18 20:04:49,BSG_317,unsuccessful reservation,0 days 00:43:00
213,CUST2,2023-05-18 21:01:34,2023-05-18 21:15:34,BSG_165,unsuccessful reservation,0 days 00:14:00
214,CUST14,2023-05-18 08:56:48,2023-05-18 09:10:48,BSG_113,successful,0 days 00:14:00
215,CUST15,2023-05-18 13:18:03,2023-05-18 13:38:03,BSG_85,unsuccessful reservation,0 days 00:20:00
216,CUST5,2023-05-18 03:11:50,2023-05-18 03:50:50,BSG_57,successful,0 days 00:39:00
217,CUST6,2023-05-18 01:08:31,2023-05-18 01:50:31,BSG_106,successful,0 days 00:42:00
218,CUST10,2023-05-18 23:43:04,2023-05-18 23:56:04,BSG_74,successful,0 days 00:13:00
219,CUST1,2023-05-18 19:54:18,2023-05-18 20:24:18,BSG_178,successful,0 days 00:30:00
220,CUST2,2023-05-18 19:00:03,2023-05-18 19:35:03,BSG_153,successful,0 days 00:35:00
221,CUST5,2023-05-18 05:12:28,2023-05-18 05:45:28,BSG_237,unsuccessful reservation,0 days 00:33:00
222,CUST4,2023-05-18 22:04:51,2023-05-18 22:21:51,BSG_8,unsuccessful reservation,0 days 00:17:00
223,CUST2,2023-05-18 10:38:11,2023-05-18 11:13:11,BSG_231,unsuccessful reservation,0 days 00:35:00
224,CUST12,2023-05-18 02:26:17,2023-05-18 03:02:17,BSG_55,unsuccessful reservation,0 days 00:36:00
225,CUST4,2023-05-18 02:09:16,2023-05-18 02:29:16,BSG_283,unsuccessful reservation,0 days 00:20:00
226,CUST7,2023-05-18 21:21:21,2023-05-18 21:56:21,BSG_182,successful,0 days 00:35:00
227,CUST1,2023-05-18 10:31:06,2023-05-18 11:12:06,BSG_326,successful,0 days 00:41:00
228,CUST8,2023-05-18 00:47:25,2023-05-18 01:20:25,BSG_333,successful,0 days 00:33:00
229,CUST15,2023-05-18 16:33:21,2023-05-18 16:52:21,BSG_213,successful,0 days 00:19:00
230,CUST12,2023-05-18 19:34:50,2023-05-18 19:44:50,BSG_148,successful,0 days 00:10:00
231,CUST13,2023-05-18 10:01:35,2023-05-18 10:18:35,BSG_300,successful,0 days 00:17:00
232,CUST1,2023-05-18 13:38:41,2023-05-18 13:50:41,BSG_88,unsuccessful reservation,0 days 00:12:00
233,CUST3,2023-05-18 09:58:36,2023-05-18 10:08:36,BSG_250,unsuccessful reservation,0 days 00:10:00
234,CUST7,2023-05-18 22:09:36,2023-05-18 22:49:36,BSG_339,successful,0 days 00:40:00
235,CUST10,2023-05-18 13:46:29,2023-05-18 14:22:29,BSG_172,successful,0 days 00:36:00
236,CUST11,2023-05-18 02:53:02,2023-05-18 03:18:02,BSG_261,unsuccessful reservation,0 days 00:25:00
237,CUST10,2023-05-18 06:52:56,2023-05-18 07:35:56,BSG_219,successful,0 days 00:43:00
238,CUST4,2023-05-18 21:27:21,2023-05-18 22:05:21,BSG_118,successful,0 days 00:38:00
239,CUST12,2023-05-18 16:42:35,2023-05-18 17:26:35,BSG_5,successful,0 days 00:44:00
240,CUST7,2023-05-18 03:27:07,2023-05-18 04:07:07,BSG_129,unsuccessful reservation,0 days 00:40:00
241,CUST12,2023-05-18 17:12:13,2023-05-18 17:43:13,BSG_16,unsuccessful reservation,0 days 00:31:00
242,CUST1,2023-05-18 20:40:19,2023-05-18 21:14:19,BSG_199,unsuccessful reservation,0 days 00:34:00
243,CUST14,2023-05-18 12:41:55,2023-05-18 13:04:55,BSG_109,successful,0 days 00:23:00
244,CUST9,2023-05-18 00:12:31,2023-05-18 00:38:31,BSG_168,successful,0 days 00:26:00
245,CUST1,2023-05-18 23:56:44,2023-05-19 00:15:44,BSG_257,unsuccessful reservation,0 days 00:19:00
246,CUST6,2023-05-18 03:21:35,2023-05-18 03:45:35,BSG_301,unsuccessful reservation,0 days 00:24:00
247,CUST3,2023-05-18 00:19:16,2023-05-18 00:53:16,BSG_307,unsuccessful reservation,0 days 00:34:00
248,CUST11,2023-05-18 21:09:49,2023-05-18 21:49:49,BSG_204,unsuccessful reservation,0 days 00:40:00
249,CUST10,2023-05-18 11:09:27,2023-05-18 11:21:27,BSG_260,successful,0 days 00:12:00
